DATE,KOREXPORTQDSMEI
1960-01-01,1220000000.0
1960-04-01,1610000000.0
1960-07-01,1660000000.0
1960-10-01,2060000000.0
1961-01-01,2460000000.0
1961-04-01,2990000000.0
1961-07-01,3460000000.0
1961-10-01,3280000000.0
1962-01-01,3180000000.0
1962-04-01,3570000000.0
1962-07-01,3170000000.0
1962-10-01,4250000000.0
1963-01-01,4880000000.0
1963-04-01,4760000000.0
1963-07-01,5980000000.0
1963-10-01,4840000000.0
1964-01-01,5970000000.0
1964-04-01,9410000000.0
1964-07-01,10310000000.0
1964-10-01,11010000000.0
1965-01-01,10710000000.0
1965-04-01,13580000000.0
1965-07-01,16370000000.000002
1965-10-01,18610000000.0
1966-01-01,20510000000.0
1966-04-01,21320000000.0
1966-07-01,23070000000.0
1966-10-01,25100000000.0
1967-01-01,26130000000.0
1967-04-01,28500000000.0
1967-07-01,29080000000.0
1967-10-01,36000000000.0
1968-01-01,36800000000.0
1968-04-01,41840000000.0
1968-07-01,41250000000.0
1968-10-01,51800000000.0
1969-01-01,49550000000.0
1969-04-01,55690000000.0
1969-07-01,63450000000.0
1969-10-01,66080000000.0
1970-01-01,71600000000.0
1970-04-01,75800000000.0
1970-07-01,82000000000.0
1970-10-01,90500000000.0
1971-01-01,91600000000.0
1971-04-01,100000000000.0
1971-07-01,116100000000.0
1971-10-01,128100000000.0
1972-01-01,139400000000.0
1972-04-01,163000000000.0
1972-07-01,195800000000.0
1972-10-01,210300000000.0
1973-01-01,260500000000.0
1973-04-01,303300000000.0
1973-07-01,348600000000.0
1973-10-01,410100000000.0
1974-01-01,445800000000.0
1974-04-01,465700000000.0
1974-07-01,445700000000.0
1974-10-01,400100000000.0
1975-01-01,494900000000.0
1975-04-01,548799999999.99994
1975-07-01,636500000000.0
1975-10-01,708300000000.0
1976-01-01,775300000000.0
1976-04-01,903400000000.0
1976-07-01,1001400000000.0
1976-10-01,1015000000000.0
1977-01-01,1084599999999.9999
1977-04-01,1172100000000.0
1977-07-01,1226100000000.0
1977-10-01,1364500000000.0
1978-01-01,1396900000000.0
1978-04-01,1479400000000.0
1978-07-01,1608500000000.0
1978-10-01,1802800000000.0
1979-01-01,1746400000000.0
1979-04-01,1851500000000.0
1979-07-01,2029000000000.0
1979-10-01,2037700000000.0
1980-01-01,2482500000000.0
1980-04-01,2644200000000.0
1980-07-01,2862700000000.0
1980-10-01,3308100000000.0
1981-01-01,3702000000000.0
1981-04-01,3770000000000.0
1981-07-01,3760900000000.0
1981-10-01,3638100000000.0
1982-01-01,3967300000000.0
1982-04-01,4082000000000.0
1982-07-01,3921000000000.0
1982-10-01,3707900000000.0
1983-01-01,4185700000000.0
1983-04-01,4453800000000.0
1983-07-01,5071500000000.0
1983-10-01,5273700000000.0
1984-01-01,5410800000000.0
1984-04-01,5428000000000.0
1984-07-01,5779600000000.0
1984-10-01,6097600000000.0
1985-01-01,5655700000000.0
1985-04-01,5947200000000.0
1985-07-01,6104200000000.0
1985-10-01,5974900000000.0
1986-01-01,7198500000000.0
1986-04-01,8003700000000.0
1986-07-01,8680000000000.0
1986-10-01,9040000000000.0
1987-01-01,9776800000000.0
1987-04-01,10832000000000.0
1987-07-01,10572700000000.0
1987-10-01,11187800000000.0
1988-01-01,11873100000000.0
1988-04-01,11445600000000.0
1988-07-01,12087100000000.0
1988-10-01,12026800000000.0
1989-01-01,11423400000000.0
1989-04-01,10992900000000.0
1989-07-01,11374600000000.0
1989-10-01,11570100000000.0
1990-01-01,11761300000000.0
1990-04-01,12151600000000.0
1990-07-01,13120200000000.0
1990-10-01,13094600000000.0
1991-01-01,13521500000000.0
1991-04-01,14359400000000.0
1991-07-01,13970200000000.0
1991-10-01,15802600000000.0
1992-01-01,15916700000000.0
1992-04-01,16696099999999.998
1992-07-01,17011099999999.998
1992-10-01,17186800000000.0
1993-01-01,17568599999999.998
1993-04-01,18243800000000.0
1993-07-01,19159000000000.0
1993-10-01,19639700000000.0
1994-01-01,20413700000000.0
1994-04-01,21699300000000.0
1994-07-01,22861500000000.0
1994-10-01,24687900000000.0
1995-01-01,26454300000000.0
1995-04-01,28129000000000.0
1995-07-01,28801600000000.0
1995-10-01,29027200000000.0
1996-01-01,30544000000000.0
1996-04-01,29322300000000.0
1996-07-01,30107500000000.0
1996-10-01,31766900000000.0
1997-01-01,33657300000000.004
1997-04-01,37574500000000.0
1997-07-01,36951300000000.0
1997-10-01,45450200000000.0
1998-01-01,64012900000000.0
1998-04-01,52625000000000.0
1998-07-01,48508800000000.0
1998-10-01,47250400000000.0
1999-01-01,44232800000000.0
1999-04-01,47187600000000.0
1999-07-01,48234000000000.0
1999-10-01,53104900000000.0
2000-01-01,52470800000000.0
2000-04-01,54271600000000.0
2000-07-01,57924100000000.0
2000-10-01,56492800000000.0
2001-01-01,60253300000000.0
2001-04-01,57598300000000.0
2001-07-01,55757600000000.0
2001-10-01,51136900000000.0
2002-01-01,56661700000000.0
2002-04-01,57610200000000.0
2002-07-01,59145100000000.0
2002-10-01,60222100000000.0
2003-01-01,61629300000000.0
2003-04-01,62041700000000.0
2003-07-01,65131800000000.0
2003-10-01,74111700000000.0
2004-01-01,81184100000000.0
2004-04-01,84055300000000.0
2004-07-01,84401900000000.0
2004-10-01,84249500000000.0
2005-01-01,81335400000000.0
2005-04-01,82266500000000.0
2005-07-01,85616200000000.0
2005-10-01,88599000000000.0
2006-01-01,86811900000000.0
2006-04-01,88221000000000.0
2006-07-01,93281200000000.0
2006-10-01,89945600000000.0
2007-01-01,96710400000000.0
2007-04-01,99655800000000.0
2007-07-01,102792400000000.0
2007-10-01,108289100000000.0
2008-01-01,120238600000000.0
2008-04-01,133324500000000.0
2008-07-01,144283800000000.0
2008-10-01,152043500000000.0
2009-01-01,140559000000000.0
2009-04-01,130783000000000.0
2009-07-01,135595799999999.98
2009-10-01,137702799999999.98
2010-01-01,140901200000000.0
2010-04-01,159605300000000.0
2010-07-01,160390000000000.0
2010-10-01,162102700000000.0
2011-01-01,179092700000000.0
2011-04-01,181794900000000.0
2011-07-01,187481200000000.0
2011-10-01,192458800000000.0
2012-01-01,193628400000000.0
2012-04-01,198237900000000.0
2012-07-01,195731400000000.0
2012-10-01,191416900000000.0
2013-01-01,190432100000000.0
2013-04-01,197290800000000.0
2013-07-01,193369700000000.0
2013-10-01,188708600000000.0
2014-01-01,192646900000000.0
2014-04-01,186104200000000.0
2014-07-01,180894700000000.0
2014-10-01,187925300000000.0
2015-01-01,179520400000000.0
2015-04-01,177304800000000.0
2015-07-01,180054900000000.0
2015-10-01,175895700000000.0
2016-01-01,177694700000000.0
2016-04-01,174435500000000.0
2016-07-01,167796500000000.0
2016-10-01,178694200000000.0
2017-01-01,191433500000000.0
2017-04-01,185052800000000.0
2017-07-01,192769400000000.0
2017-10-01,182172700000000.0
2018-01-01,190286100000000.0
2018-04-01,195258400000000.0
2018-07-01,206124700000000.0
2018-10-01,200129500000000.0
2019-01-01,183716900000000.0
2019-04-01,191115500000000.0
2019-07-01,192836800000000.0
2019-10-01,188194000000000.0
2020-01-01,189093800000000.0
2020-04-01,155670700000000.0
2020-07-01,178685900000000.0
2020-10-01,181103600000000.0
2021-01-01,195282200000000.0
2021-04-01,203788000000000.0
2021-07-01,221543300000000.0
