종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"152100","ARIRANG 200","40665","-160","-0.39","40637.08","40925","40990","40480","47067","1910859535","748236000000","0","18400000","코스피 200","394.19","-2.53","-0.64"
"295820","ARIRANG 200동일가중","11150","-70","-0.62","11133.31","11170","11190","11125","22","245385","5575000000","0","500000","코스피 200 동일가중지수","2394.48","-18.73","-0.78"
"253150","ARIRANG 200선물레버리지","43400","-515","-1.17","43347.59","43910","43910","43230","1483","64600730","13020000000","0","300000","코스피 200 선물지수","1995.56","-10.37","-0.52"
"253160","ARIRANG 200선물인버스2X","4345","55","1.28","4339.66","4270","4350","4255","21276","91868530","14338500000","0","3300000","코스피 200 선물지수","1995.56","-10.37","-0.52"
"395750","ARIRANG ESG가치주액티브","9530","-75","-0.78","9587.79","9620","9640","9530","50445","481208545","131037500000","0","13750000","FnGuide 한화 ESG 가치 지수","1452.76","-6.76","-0.46"
"395760","ARIRANG ESG성장주액티브","9695","60","0.62","9663.81","9685","9715","9610","963","9329805","59139500000","0","6100000","FnGuide 한화 ESG 성장 지수","1603.39","-5.69","-0.35"
"278420","ARIRANG ESG우수기업","9295","-25","-0.27","9292.59","9290","9305","9250","1557","14456020","4647500000","0","500000","WISE ESG우수기업 지수","1260.65","-5.20","-0.41"
"292750","ARIRANG KRX300","18600","-100","-0.53","18578.70","18665","18710","18540","101","1878865","11160000000","0","600000","KRX 300","1812.18","-8.91","-0.49"
"309210","ARIRANG KRX300헬스케어","11270","-55","-0.49","11340.87","11370","11380","11240","659","7426420","5184200000","0","460000","KRX300 헬스케어","3167.46","-18.94","-0.59"
"333940","ARIRANG KS로우볼가중TR","13600","-80","-0.58","13604.43","13685","13695","13595","133","1811135","6800000000","0","500000","FnGuide KS 로우볼 가중 TR 지수","2415.15","-12.55","-0.52"
"333950","ARIRANG KS로우사이즈가중TR","17280","-30","-0.17","17276.87","17320","17335","17225","105","1815325","8640000000","0","500000","FnGuide KS 로우사이즈 가중 TR 지수","2795.64","-4.00","-0.14"
"333960","ARIRANG KS모멘텀가중TR","15555","-55","-0.35","15553.44","15580","15620","15545","81","1260810","7777500000","0","500000","FnGuide KS 모멘텀 가중 TR 지수","2238.60","-6.76","-0.30"
"333970","ARIRANG KS밸류가중TR","16350","-70","-0.43","16349.65","16420","16425","16310","188","3077475","8175000000","0","500000","FnGuide KS 밸류 가중 TR 지수","2567.96","-9.10","-0.35"
"333980","ARIRANG KS퀄리티가중TR","15735","-110","-0.69","15734.37","15815","15830","15730","170","2677710","7867500000","0","500000","FnGuide KS 퀄리티 가중 TR 지수","2414.47","-15.57","-0.64"
"269530","ARIRANG S&P글로벌인프라","12245","0","0.00","12453.37","12250","12250","12200","395","4830485","6122500000","0","500000","S&P Global Infrastructure Index","2747.65","-3.96","-0.14"
"251590","ARIRANG 고배당저변동50","11625","0","0.00","11614.76","11625","11625","11550","1383","16043020","12206250000","0","1050000","FnGuide 고배당저변동50 지수","1971.29","0.03","0.00"
"161510","ARIRANG 고배당주","12505","-115","-0.91","12517.07","12620","12620","12485","51624","647047470","199204650000","0","15930000","FnGuide 배당주 지수","11795.94","-126.80","-1.06"
"251600","ARIRANG 고배당주채권혼합","11155","-55","-0.49","11155.58","11200","11200","11150","5251","58658035","12270500000","0","1100000","FnGuide 고배당 채권혼합 지수","2749.27","-14.29","-0.52"
"289670","ARIRANG 국채선물10년","55850","-295","-0.53","55857.06","55950","55960","55825","663","37045970","10053000000","0","180000","10년국채선물지수","1323.47","-7.78","-0.58"
"298340","ARIRANG 국채선물3년","53410","0","0.00","53415.61","0","0","0","0","0","7263760000","0","136000","국채선물지수","1262.51","-1.05","-0.08"
